area,extent,solidity,elongation,bbox_aspect_ratio,eccentricity,type
522.0,0.4264705882352941,0.9125874125874126,3.2951637422462947,1.0588235294117647,0.9528393834262867,control
436.0,0.6707692307692308,0.960352422907489,1.5640819795819922,1.04,0.7689136199727898,control
516.0,0.583710407239819,0.9084507042253521,1.9901669419285282,1.3076923076923077,0.8645944058982217,control
605.0,0.42160278745644597,0.8002645502645502,3.185163893224727,1.1714285714285715,0.9494376700709772,control
1056.0,0.36923076923076925,0.9127052722558341,4.02450480335732,1.0576923076923077,0.9686375974581123,control
427.0,0.7530864197530864,0.9660633484162896,1.4523436105652003,1.2857142857142858,0.7251961876629852,control
418.0,0.5679347826086957,0.8912579957356077,1.9617256014198203,1.391304347826087,0.8603194440434896,control
661.0,0.46288515406162467,0.8356510745891277,3.088368369200766,1.2352941176470589,0.9461270676337812,control
1036.0,0.34350132625994695,0.9040139616055847,4.340139536730422,1.1153846153846154,0.9730942699960602,control
577.0,0.6164529914529915,0.8548148148148148,1.700658922522896,1.3846153846153846,0.8088555613969872,control
637.0,0.4357045143638851,0.8032786885245902,3.170401572875401,1.2647058823529411,0.9489530168426978,control
984.0,0.3153846153846154,0.846815834767642,4.666219467107246,1.1538461538461537,0.9767665180653261,control
753.0,0.5536764705882353,0.7976694915254238,1.450521151703654,1.1764705882352942,0.7243738343446444,control
671.0,0.5033758439609902,0.9558404558404558,3.058162747734845,1.3870967741935485,0.9450265128098156,control
789.0,0.5242524916943522,0.747867298578199,1.501280791776269,1.2285714285714286,0.7458643122412687,control
660.0,0.529270248596632,0.9620991253644315,2.9777039767079208,1.4827586206896552,0.9419228927419383,control
562.0,0.669047619047619,0.9493243243243243,1.985229628772212,1.4583333333333333,0.8638669428339886,control
650.0,0.5527210884353742,0.9572901325478645,2.803419323803189,1.5,0.9342162154364039,control
696.0,0.3611831862999481,0.6609686609686609,2.812806141657759,1.146341463414634,0.9346698690413137,control
543.0,0.7051948051948052,0.9526315789473684,2.1495485119105147,1.5909090909090908,0.8851982607244001,control
655.0,0.5508830950378469,0.9548104956268222,2.7669208398468124,1.4137931034482758,0.9324059989387835,control
710.0,0.39444444444444443,0.7193515704154002,2.772760662509981,1.125,0.9327006869987148,control
867.0,0.37893356643356646,0.8210227272727273,4.032152736549615,1.1818181818181819,0.9687583737655315,control
571.0,0.6533180778032036,0.9376026272577996,2.3229055107663337,1.6521739130434783,0.9025927993095678,control
705.0,0.5168621700879765,0.9463087248322147,2.8803067894138836,1.4193548387096775,0.9377965718000388,control
680.0,0.4054859868813357,0.748898678414097,2.8000839992756963,1.1025641025641026,0.9340538700967431,control
961.0,0.3941755537325677,0.85650623885918,3.8298432169394956,1.1521739130434783,0.9653097849182966,control
583.0,0.6625,0.9328,2.4638880044727767,1.8181818181818181,0.9139341043834784,control
755.0,0.4934640522875817,0.9461152882205514,2.876519832355651,1.3235294117647058,0.9376272308993897,control
644.0,0.41335044929396664,0.7911547911547911,2.676006820378245,1.0789473684210527,0.9275532021813849,control
957.0,0.3841830590124448,0.8358078602620087,3.917143106483713,1.127659574468085,0.966865031297722,control
517.0,0.7558479532163743,0.9486238532110092,1.9737312653496186,1.894736842105263,0.8621491338550887,control
760.0,0.5049833887043189,0.9405940594059405,2.6495519072553715,1.2285714285714286,0.9260412519348031,control
567.0,0.5211397058823529,0.8513513513513513,2.128709415441658,1.0625,0.8827898017299011,control
847.0,0.33934294871794873,0.7658227848101266,4.306635524524715,1.0833333333333333,0.9726681052146511,control
487.0,0.7378787878787879,0.9586614173228346,1.7660846348954051,1.65,0.8242512148972604,control
798.0,0.540650406504065,0.9545454545454546,2.4932587788506475,1.1388888888888888,0.916042368560762,control
509.0,0.5850574712643678,0.9089285714285714,1.7941387140765985,1.0344827586206897,0.8302638862690347,control
446.0,0.7136,0.9674620390455532,1.6861117607092648,1.0,0.8051431703797499,control
434.0,0.7614035087719299,0.9601769911504425,1.6100695171973727,1.5789473684210527,0.783738303169786,control
857.0,0.5514800514800515,0.9629213483146067,2.3798307994975327,1.135135135135135,0.907432471891037,control
441.0,0.6523668639053254,0.930379746835443,1.5520275130016183,1.0,0.7647572837521891,control
438.0,0.7008,0.9690265486725663,1.6869478780682359,1.0,0.8053596184583581,control
