training_dataset,test_dataset,sparse_mask_percentage,trial,absolute_iou
jurkat,jurkat,95,9,0.25377272658218863
jurkat,macrophage,50,0,0.12952592382559844
jurkat,macrophage,50,1,0.028587457576326608
jurkat,macrophage,50,2,0.049228416665257034
jurkat,macrophage,50,3,0.03936698089811417
jurkat,macrophage,50,4,0.06443984907431194
jurkat,macrophage,50,5,0.08898792193420177
jurkat,macrophage,50,6,0.023151740264284255
jurkat,macrophage,50,7,0.047539513842532986
jurkat,macrophage,50,8,0.045274194374844715
jurkat,macrophage,50,9,0.14279375514939333
jurkat,macrophage,70,0,0.05545393576752719
jurkat,macrophage,70,1,0.1335281743984558
jurkat,macrophage,70,2,0.057561080656377335
jurkat,macrophage,70,3,0.06711620179477899
jurkat,macrophage,70,4,0.043950454690652695
jurkat,macrophage,70,5,0.0999674288455554
jurkat,macrophage,70,6,0.12337469996243047
jurkat,macrophage,70,7,0.04903475104533226
jurkat,macrophage,70,8,0.015705401420349357
jurkat,macrophage,70,9,0.01592453193550426
jurkat,macrophage,95,0,0.02382414480670314
jurkat,macrophage,95,1,0.04760306174112938
jurkat,macrophage,95,2,0.11738898467935531
jurkat,macrophage,95,3,0.06958889669297372
jurkat,macrophage,95,4,0.02993576845507898
jurkat,macrophage,95,5,0.11936116713684848
jurkat,macrophage,95,6,0.03185671843131659
jurkat,macrophage,95,7,0.08714475348402978
jurkat,macrophage,95,8,0.10602215449859251
jurkat,macrophage,95,9,0.08464078315022722
macrophage,macrophage,50,0,0.2349756959954888
macrophage,macrophage,50,1,0.27478843519224194
macrophage,macrophage,50,2,0.22543368783055634
macrophage,macrophage,50,3,0.29711915225997404
macrophage,macrophage,50,4,0.1914251411636611
macrophage,macrophage,50,5,0.223543589603957
macrophage,macrophage,50,6,0.22146636734635805
macrophage,macrophage,50,7,0.25683877967725716
macrophage,macrophage,50,8,0.24065186387452556
macrophage,macrophage,50,9,0.2787976753894447
macrophage,macrophage,70,0,0.1930268606822134
macrophage,macrophage,70,1,0.19407400040639655
macrophage,macrophage,70,2,0.2647796612070916
macrophage,macrophage,70,3,0.22066260122787903
macrophage,macrophage,70,4,0.25238451170152637
macrophage,macrophage,70,5,0.2172040821958892
macrophage,macrophage,70,6,0.27958740447667196
macrophage,macrophage,70,7,3.081605763131052e-07
macrophage,macrophage,70,8,0.29229729152392664
macrophage,macrophage,70,9,0.2593743365047805
macrophage,macrophage,95,0,0.34973017479285223
macrophage,macrophage,95,1,0.23956780366840816
macrophage,macrophage,95,2,0.24233806414333775
macrophage,macrophage,95,3,0.2663158511950672
macrophage,macrophage,95,4,0.21486653836345446
macrophage,macrophage,95,5,0.2814731126028755
macrophage,macrophage,95,6,0.3515787599070825
macrophage,macrophage,95,7,0.30330826196681876
macrophage,macrophage,95,8,0.303545294071723
macrophage,macrophage,95,9,0.3334340967547994
macrophage,hela2,50,0,0.06661263865808117
macrophage,hela2,50,1,0.009222409946868943
macrophage,hela2,50,2,0.008522183091946245
macrophage,hela2,50,3,0.00760846753736669
macrophage,hela2,50,4,0.002687985309335923
macrophage,hela2,50,5,0.015119917164841972
macrophage,hela2,50,6,0.0026167889164416514
macrophage,hela2,50,7,0.010422756122958971
macrophage,hela2,50,8,0.00577215741029542
macrophage,hela2,50,9,0.008111315513805176
macrophage,hela2,70,0,0.017990880625971952
macrophage,hela2,70,1,0.00636468018613002
macrophage,hela2,70,2,0.011747937914007158
macrophage,hela2,70,3,0.012897926392890937
macrophage,hela2,70,4,0.010116882487026508
macrophage,hela2,70,5,0.005434141589142539
macrophage,hela2,70,6,0.009930605740015796
macrophage,hela2,70,7,2.4300603770592128e-05
macrophage,hela2,70,8,0.005071231879514461
macrophage,hela2,70,9,0.006664184325326675
macrophage,hela2,95,0,0.0014495879966132865
macrophage,hela2,95,1,0.0006384690995803903
macrophage,hela2,95,2,0.005780639111137655
macrophage,hela2,95,3,0.002331110687977118
macrophage,hela2,95,4,0.0023294315154081618
macrophage,hela2,95,5,0.0028177271620996765
macrophage,hela2,95,6,0.0022431197132479646
macrophage,hela2,95,7,0.0016790672482111758
macrophage,hela2,95,8,0.002669844504117912
macrophage,hela2,95,9,0.0012489587223163726
macrophage,jurkat,50,0,0.07448805778533892
macrophage,jurkat,50,1,0.03942421979101786
macrophage,jurkat,50,2,0.04705861046206097
macrophage,jurkat,50,3,0.03142311286155612
macrophage,jurkat,50,4,0.022004907879203603
macrophage,jurkat,50,5,0.042129303378490496
macrophage,jurkat,50,6,0.014467349184362717
macrophage,jurkat,50,7,0.04762489275666055
macrophage,jurkat,50,8,0.03612171654397162
macrophage,jurkat,50,9,0.04522237404314408
macrophage,jurkat,70,0,0.06036840529478881
macrophage,jurkat,70,1,0.030907919720404093
macrophage,jurkat,70,2,0.02825080774801443
macrophage,jurkat,70,3,0.02089373473815863
macrophage,jurkat,70,4,0.02942766105565286
macrophage,jurkat,70,5,0.025294208758968206
macrophage,jurkat,70,6,0.036923765489696225
macrophage,jurkat,70,7,0.00021116517869576126
macrophage,jurkat,70,8,0.029013537692242266
macrophage,jurkat,70,9,0.023539888765334225
macrophage,jurkat,95,0,0.015227339874205105
macrophage,jurkat,95,1,0.00654020040978509
macrophage,jurkat,95,2,0.054925785756629694
macrophage,jurkat,95,3,0.01283988483553672
macrophage,jurkat,95,4,0.026185018383476012
macrophage,jurkat,95,5,0.03647180722097085
macrophage,jurkat,95,6,0.01471706910712427
macrophage,jurkat,95,7,0.02124553386548556
macrophage,jurkat,95,8,0.014089311868135768
macrophage,jurkat,95,9,0.011456074623835166
