dataset,model,sparse_mask_percentage,trial,iou,false_positive_rate
macrophage,SparseSeg,70,3,0.22082973604010694,0.01116741510500383
macrophage,SparseSeg,70,4,0.25242367895439366,0.007066751290306009
macrophage,SparseSeg,70,5,0.21732043613474122,0.010841403782126086
macrophage,SparseSeg,70,6,0.2798603416234572,0.007127329985632662
macrophage,SparseSeg,70,7,0.007557696906933667,0.4687479969835158
macrophage,SparseSeg,70,8,0.2924997898541373,0.006693575474367013
macrophage,SparseSeg,70,9,0.25937660434385806,0.007202439765912906
macrophage,SparseSeg,95,0,0.349739559480384,0.0019041340532664713
macrophage,SparseSeg,95,1,0.23978491759656967,0.002157348309288993
macrophage,SparseSeg,95,2,0.24306768338265405,0.0008669192341678907
macrophage,SparseSeg,95,3,0.2668454120425381,0.001075344404592811
macrophage,SparseSeg,95,4,0.21380325979415618,0.0013267080254750307
macrophage,SparseSeg,95,5,0.28151617234327625,0.0010392697903647882
macrophage,SparseSeg,95,6,0.3518401513140074,0.0012967611730227385
macrophage,SparseSeg,95,7,0.3034992019758446,0.002029833278718312
macrophage,SparseSeg,95,8,0.30373038839764155,0.0015852489527796768
macrophage,SparseSeg,95,9,0.334086048006412,0.0011609473093385817
macrophage,StarDist,50,0,0.07927202423810843,0.00025244335154751504
macrophage,StarDist,50,1,0.05946826047971852,0.0004936342841616496
macrophage,StarDist,50,2,0.08996749144831769,0.00045080961177445687
macrophage,StarDist,50,3,0.12538931298317227,0.0008456241590465469
macrophage,StarDist,50,4,0.0005190503047798485,1.9140257793614363e-05
macrophage,StarDist,50,5,0.03147517821051929,0.0005371903869995264
macrophage,StarDist,50,6,0.017087877572604257,0.0015513895279165827
macrophage,StarDist,50,7,0.019785255357360167,0.0019711493365591444
macrophage,StarDist,50,8,0.0029480655659276894,9.530654872484551e-05
macrophage,StarDist,50,9,0.14774545919683432,0.00043649679495535716
macrophage,StarDist,70,0,0.22939546273108688,0.00027724232682785
macrophage,StarDist,70,1,0.19109187248609769,0.0003279083980466618
macrophage,StarDist,70,2,0.0,0.0
macrophage,StarDist,70,3,0.19748945264290044,0.0007640290287702386
macrophage,StarDist,70,4,0.16429781910897348,0.00015787287727621503
macrophage,StarDist,70,5,0.22400688700344254,0.00024143242076293185
macrophage,StarDist,70,6,0.12098290681136815,0.00027894667587801536
macrophage,StarDist,70,7,0.1325817944570975,0.004461474973018111
macrophage,StarDist,70,8,0.2501930095306479,0.0006089541632180688
macrophage,StarDist,70,9,0.23156211672578839,0.00028328881855350474
macrophage,StarDist,95,0,0.008060671642412722,2.5704555838324762e-05
macrophage,StarDist,95,1,0.008492082441037692,9.512543261324756e-05
macrophage,StarDist,95,2,0.028224499730896024,0.00151475298934232
macrophage,StarDist,95,3,0.00017634033105728966,0.000631375409033323
macrophage,StarDist,95,4,0.014548501699668034,9.629804333577276e-05
macrophage,StarDist,95,5,0.008500618805577882,0.0023034068432855877
macrophage,StarDist,95,6,0.0068046780154620325,0.00036036069004272565
macrophage,StarDist,95,7,0.02276719982268833,0.0014098844387256749
macrophage,StarDist,95,8,0.02597026331803281,0.024237691806490085
macrophage,StarDist,95,9,0.0,0.0
