ablation,setting_index,setting,trial,iou,false_positive_rate
backbone_structure,2,1 layer,1,0.1206324309582595,0.007602855953486523
backbone_structure,2,1 layer,2,0.08064338958147593,0.0018032942509113958
backbone_structure,2,1 layer,3,0.07041966537563528,0.008743143593846118
backbone_structure,2,1 layer,4,0.048282374403112775,0.009178496039916386
loss,0,control,0,0.20190926163640016,0.006145660400924217
loss,0,control,1,0.056995308442685896,0.008933815685988018
loss,0,control,2,0.08606838918825248,0.008420864576992475
loss,0,control,3,0.1717529429381736,0.006685004226528618
loss,0,control,4,0.22809734914457427,0.00573981294000758
loss,1,nobce,0,0.0,0.0
loss,1,nobce,1,0.0,0.0
loss,1,nobce,2,0.0,0.0
loss,1,nobce,3,0.0,0.0
loss,1,nobce,4,0.0,0.0
loss,2,nocorr,0,0.12320075901463047,0.007588097092010912
loss,2,nocorr,1,0.27850164698176244,0.004947487962377913
loss,2,nocorr,2,0.2508546367851221,0.002667294815586455
loss,2,nocorr,3,0.24837487822278964,0.00443718631528133
loss,2,nocorr,4,0.18120545241693803,0.006458016673454356
loss,3,nosmooth,0,0.21019636432378186,0.004848273256940459
loss,3,nosmooth,1,0.159874223095598,0.00504851143507331
loss,3,nosmooth,2,0.15183249029336146,0.0071278889569077845
loss,3,nosmooth,3,0.21625181882682717,0.005981122023506824
loss,3,nosmooth,4,0.16195473528414803,0.006953007487846379
loss,4,nol1,0,0.26941716457126413,0.005115580185323237
loss,4,nol1,1,0.12986240523468998,0.007422437788405498
loss,4,nol1,2,0.08330193136688271,0.008617965010985374
loss,4,nol1,3,0.12670502463310807,0.006934601370327169
loss,4,nol1,4,0.1916729029670803,0.006315000928033473
feature_group,0,control,0,0.07576925335536723,0.0034963938148617675
feature_group,0,control,1,0.19935861385467304,0.006236947950327447
feature_group,0,control,2,0.029863980766856837,0.0005179273419211508
feature_group,0,control,3,0.2260093633329399,0.005809684005727559
feature_group,0,control,4,0.2780651005208161,0.004989887844626315
feature_group,1,no Structural,0,0.009202993192544709,0.0002259685292669709
feature_group,1,no Structural,1,0.09701848077963973,0.0030933826368754265
feature_group,1,no Structural,2,0.009650200699543972,6.895819022594654e-05
feature_group,1,no Structural,3,0.04970281037247282,0.004051434853030994
